	shannon
F03	4.503661883736033
F04	3.57355960269071
F05	4.5237978664537675
F07	5.849109396599203
F09	4.0803000691500575
F100	5.275880342893258
F101	5.15337499826257
F102	4.770998423814087
F103	3.545727070539032
F107	3.806485960702134
F108	4.086813346823847
F10	5.395146087025849
F111	4.952470356358674
F112	4.7816876042757555
F113	4.162945030870057
F114	2.579198570844031
F116	4.571799664117505
F123	4.722596269330006
F127	4.521829524362876
F128	4.707261399506443
F130	4.900024953769443
F132	5.707559650318271
F134	5.451572290401124
F140	5.818954161676032
F147	3.754785906144734
F149	3.3425375989578145
F151	4.559325927931259
F154	4.430124173196153
F155	3.4825339089608796
F158	5.888819822949937
F159	5.3221683444945835
F160	4.681153788116181
F161	4.728056999569201
F162	2.8468707190012665
F165	4.8426369035507815
F16	4.352212382769277
F170	4.610414381861663
F172	3.843780010184381
F173	4.536743640908652
F183	5.134729120769346
F187	5.462790212434958
F188	4.469807443930002
F18	4.167794439053573
F190	4.627175822645126
F194	4.956490669048092
F195	4.743381523877212
F198	4.201814163331215
F199	4.108104815896081
F19	4.2323924067323375
F201	3.9575071954200176
F205	4.744880904654103
F207	5.4819641514072
F208	4.330952552733922
F211	4.097468519882996
F216	5.196519229375854
F217	4.765023508983344
F21	4.79941132623868
F222	5.600061554670108
F223	5.353430944343833
F224	4.1841319816559315
F226	5.001741975483862
F230	3.705660073566403
F232	3.675306703837508
F233	3.888972839724531
F235	3.909863053944667
F237	4.360951816075935
F239	4.171560580131373
F248	4.853734136014877
F24	5.572445265978796
F252	4.600100428008009
F255	4.902233930922554
F259	3.261530529223125
F266	4.947409753899038
F267	4.063238428280042
F26	4.618178722856946
F272	4.350518194658264
F274	5.444542482848143
F278	2.805898579625891
F279	4.849054249710853
F281	3.1350937076201975
F286	5.076152837826695
F287	1.4276825175682846
F288	3.943102852359132
F28	5.122325685230357
F291	4.173562339510626
F293	1.778679816287491
F294	5.569691902373586
F295	2.9321696240223685
F297	3.9161630388406268
F299	4.41159524490757
F29	4.0814441937107775
F303	4.066030571247458
F30	5.065431732969731
F313	4.830491231030164
F319	4.786125524115658
F31	3.9920578451176167
F320	5.791561957476752
F321	4.742477267045973
F327	3.935242248443069
F329	3.7421211595243915
F32	3.8002970548590675
F334	5.308496796868095
F338	4.620886078011551
F33	2.083100529727179
F346	4.141684338437517
F34	5.4702497325795845
F356	4.489217301627167
F358	6.120872630483487
F359	1.4344114804361592
F367	4.603840011710308
F36	4.575816040357059
F372	4.347261955956773
F374	4.509053163387757
F375	4.997126925941669
F376	5.169495358797045
F377	4.3528762591052885
F378	5.970400565203078
F384	5.388176793413043
F386	6.269184184376227
F390	4.144187671464264
F39	5.441427116670736
F40	2.1935231758961358
F42	4.091525935779648
F45	3.3886064997318397
F46	3.7191644517489078
F47	5.358827642958879
F50	3.739648291396146
F53	3.4494236865206864
F54	4.5768250750654715
F55	3.082382403284743
F56	5.637169827083538
F57	5.470416770128584
F58	4.680091831163497
F61	4.531737813510109
F62	4.668812569056808
F65	4.34612299619146
F67	4.5496358999228015
F72	4.935644424920807
F76	4.177884046884747
F77	2.8187448331923237
F79	4.117026484872875
F85	2.1918554400731307
F89	5.778919512310587
F90	4.957090026273415
F91	4.771196926498568
F94	5.090691561333137
F96	4.002383498475284
F98	4.991755782792013
L03	4.659014675359245
L04	5.7000197708823634
L102	4.138109638227806
L103	3.599596981778096
L107	4.173740500644727
L108	4.4304326896328945
L123	4.107597831860469
L128	3.8254794519463715
L130	3.594589862236397
L132	5.542502215983639
L134	4.905256356984836
L140	4.010362792958652
L147	3.4801470443613045
L149	4.650863632772255
L158	3.776218971461927
L160	4.782382886455668
L161	4.694078739158021
L162	3.1247741707255523
L165	3.7915508762978756
L170	5.077660161896586
L183	6.238203544869001
L188	3.5321904731526526
L18	3.139598859218933
L190	3.2823617175139517
L195	3.9511919474780797
L201	3.519419908787788
L208	5.097861594330866
L216	3.4799274984261217
L21	5.20368824867056
L222	3.4815092821205385
L226	5.703012060547145
L237	3.69400733279221
L239	4.075257354204391
L248	3.6985692704159714
L24	5.2882179182832285
L252	3.16972836281681
L279	4.128120154567359
L287	4.043710781942879
L288	3.671862534063065
L293	3.969901190576432
L297	6.035849265477326
L303	5.08493092718245
L30	4.702663517244911
L319	4.8059565032008384
L31	2.463081894586929
L320	4.9081717305473616
L327	4.372450640882359
L32	3.925151058314799
L359	5.7363103276931104
L367	6.063516255554286
L36	4.621369848206118
L372	5.102111797184759
L374	6.120874327910806
L375	4.697552613640107
L376	6.36485598984589
L377	5.247462975217736
L378	6.238470866436335
L390	4.946097399786021
L61	4.62249143839881
L72	5.85345195095553
L76	3.5325702076445897
L89	3.798031360006247
L96	3.5689966645624005
M03	4.740166335996077
M04	4.350449476660154
M07	5.728686621279896
M09	5.82544268720949
M103	1.3803220997883443
M10	5.035637787968248
M112	4.342687827086414
M113	5.166018347533298
M114	3.168229031670476
M132	0.814245009376915
M134	5.873357942737593
M140	5.396558629401
M149	5.188438717039331
M151	5.262286590059553
M155	5.818594878346145
M158	5.338104102753377
M159	5.87526841360013
M161	5.320310752984346
M162	1.270062937003916
M165	6.404126334792867
M16	2.719988905062825
M170	2.6660743139221927
M172	5.556521370014583
M173	6.1525772908220375
M183	6.002911212286155
M188	6.261961155914962
M18	2.6653926271644144
M208	5.46891091156504
M21	5.375205252426972
M223	3.7521755380729367
M232	6.132227510987018
M237	1.8485868133408894
M24	3.1050907026352124
M29	5.680947797955539
M303	4.864113682426223
M319	4.415232133169075
M31	3.844792963241426
M32	3.7599187665232168
M334	2.608258435552665
M358	5.101895900177282
M359	4.32987670913643
M367	5.7998041714076995
M36	3.9708814863683424
M372	0.5789292665055423
M374	6.03629475590936
M375	4.771538772125168
M376	6.335346418748775
M377	4.3049143083275485
M384	5.103189072269512
M386	0.00884842547874222
M390	0.18893370313225186
M39	5.877977275137619
M40	5.93248384665071
M42	5.439405161790265
M47	6.217138381121699
M54	5.390489761186792
M55	6.066500461199626
M56	5.862659049674399
M57	0.0317428710687993
M58	0.039084485929560986
M62	5.804369001997753
M65	0.2000073360001644
M67	6.6505117433221885
M72	5.490317118759649
M90	0.9562386843439602
