	simpson
F03	0.9127219214349411
F04	0.7906704455976479
F05	0.9086620342932543
F07	0.9548394033403043
F09	0.8246429361822537
F100	0.9375036136047307
F101	0.9355091912220083
F102	0.9235838472899965
F103	0.7639059955584167
F107	0.8281194956015263
F108	0.8617239768877085
F10	0.9545906852941812
F111	0.95219558342995
F112	0.9161376789393876
F113	0.8881589189148416
F114	0.6380235329232959
F116	0.9231668872544426
F123	0.9392577215007574
F127	0.9282597013383781
F128	0.8873487669284299
F130	0.935628311029819
F132	0.963658291962102
F134	0.9571475721087449
F140	0.9671066922138195
F147	0.7931734630324544
F149	0.8023103986478151
F151	0.8916241978478345
F154	0.9131810263827429
F155	0.8555645488428893
F158	0.9698868154544438
F159	0.9389068562612125
F160	0.9165427094452397
F161	0.924442495379053
F162	0.6137840297443445
F165	0.9297252555083816
F16	0.9068271249292241
F170	0.9181689233651797
F172	0.8357516633507709
F173	0.9160376620021343
F183	0.9488248704156896
F187	0.9452012460309509
F188	0.9120466673088304
F18	0.8697550524281827
F190	0.9168194808529655
F194	0.8849783928752872
F195	0.9339420243724114
F198	0.8590100127295299
F199	0.8863285307055033
F19	0.9066509860258792
F201	0.8861322495711244
F205	0.9394080805774905
F207	0.9497865709108088
F208	0.8760157100985299
F211	0.8895784112897887
F216	0.945151695480653
F217	0.9261364126385944
F21	0.944651489207019
F222	0.9562396109133643
F223	0.9391561218931126
F224	0.888837750155668
F226	0.9178167202730083
F230	0.8676061981666674
F232	0.7969603532732983
F233	0.8873438025807757
F235	0.8541743486585153
F237	0.8863418230124628
F239	0.8823190102092267
F248	0.9263372217745004
F24	0.9486929534469062
F252	0.9021524459262703
F255	0.9188146635401696
F259	0.789350824191325
F266	0.9367096229861025
F267	0.8857871761437638
F26	0.9204166281096435
F272	0.8770901500564967
F274	0.9477506929719453
F278	0.7105556837659428
F279	0.8982960173749726
F281	0.8199596909514423
F286	0.9273275517167742
F287	0.3589836141308954
F288	0.8229493933608305
F28	0.9365878272291712
F291	0.8669859278764148
F293	0.4432656530305511
F294	0.9566517922789322
F295	0.6995517249097991
F297	0.8512488249830278
F299	0.9028427809468165
F29	0.890373399415582
F303	0.8818449519942712
F30	0.9065697272967845
F313	0.9325680232327086
F319	0.9184881979621081
F31	0.8823765166652197
F320	0.9647296557768739
F321	0.9246512887848081
F327	0.8877951404341481
F329	0.753341332103348
F32	0.7998149570011277
F334	0.9502352040498362
F338	0.9239817224267115
F33	0.47898482186418045
F346	0.8883400071746846
F34	0.9534872353828234
F356	0.9123989263597261
F358	0.9666071491329833
F359	0.27461138450242684
F367	0.9186739674443961
F36	0.9332296777487874
F372	0.9201884159529347
F374	0.8808988923471696
F375	0.9225196853573245
F376	0.9516485092808992
F377	0.9007326967972065
F378	0.9643250972109815
F384	0.952361967611934
F386	0.9757374956847227
F390	0.8893168542410791
F39	0.9422691772534245
F40	0.49593097545974996
F42	0.8866835878809767
F45	0.848239850125065
F46	0.8864026645582797
F47	0.9455556604886602
F50	0.768498278436111
F53	0.7398537428587166
F54	0.9279254543630924
F55	0.6700260009914196
F56	0.9305383643428836
F57	0.961294681850623
F58	0.923575804446908
F61	0.9154728154437417
F62	0.9146081872535887
F65	0.8978922421697867
F67	0.9100439602621018
F72	0.9446265488
F76	0.8646875169773252
F77	0.7508285540916675
F79	0.8966193340571087
F85	0.5428326338708934
F89	0.959247845317997
F90	0.9338286127262426
F91	0.9044812675762282
F94	0.9332980533956196
F96	0.7959386565877371
F98	0.9094173048519111
L03	0.844689044171367
L04	0.922755284292017
L102	0.8700725008870541
L103	0.805584437526293
L107	0.8512577535680066
L108	0.911626102000167
L123	0.8777029254087477
L128	0.8374601717841804
L130	0.8212030083272656
L132	0.9574767223384313
L134	0.9204065651332571
L140	0.8389832180252909
L147	0.7653756625522793
L149	0.9112079420497182
L151	0.9338125252013524
L158	0.8528710236647262
L160	0.903380948534562
L161	0.9360070685742514
L162	0.7207014935459652
L165	0.8452157575813843
L170	0.9182230990654583
L183	0.9704145455874865
L188	0.7969719604835024
L18	0.6432923547823175
L190	0.7677003463556721
L195	0.8238346551141996
L201	0.7838292069495143
L208	0.9324840332528497
L216	0.7649786099784902
L21	0.923652739057751
L222	0.7681839743522342
L226	0.9588157067164867
L237	0.8240096687321733
L239	0.8501887996012822
L248	0.7918673833044061
L24	0.956431672576667
L252	0.7146415207232932
L279	0.8846450270461919
L281	0.9016943005393484
L287	0.8527834932257998
L288	0.8243915657870895
L293	0.8558893116652061
L294	0.8910538752362949
L297	0.9715592317569629
L303	0.9384201477057527
L30	0.9444737643170932
L319	0.9038613057480993
L31	0.7584758629577981
L320	0.9123761875872806
L321	0.8597869902418163
L327	0.906741525699486
L32	0.7755167438490882
L358	0.8814331758715224
L359	0.9430689075198185
L367	0.9686732879723321
L36	0.9335116888694137
L372	0.9192023956480898
L374	0.9637191698079439
L375	0.8731069664199999
L376	0.96148016451933
L377	0.923345586846396
L378	0.975829189927605
L390	0.9167688529802155
L61	0.9146117011071291
L72	0.9675753041923262
L76	0.7761427468362555
L89	0.8434489427234254
L96	0.7864864635342974
M03	0.9254550157698721
M04	0.8496340108538964
M07	0.9559178450899709
M09	0.965642702095758
M103	0.3402784932368753
M10	0.9020073443129875
M112	0.8834769583220754
M113	0.9368113725759333
M114	0.5918628387453941
M132	0.1424773047657777
M134	0.9639687187286473
M140	0.9456764917596355
M149	0.9407077279051954
M151	0.9398461686605796
M155	0.9589785892982746
M158	0.9325906528684438
M159	0.9610307324785275
M161	0.9420300027551032
M162	0.22583917989353208
M165	0.9632869449290152
M16	0.6350078861000201
M170	0.5868577547827272
M172	0.9033750590527962
M173	0.9719184359205524
M183	0.9725609497268459
M188	0.9763853525353632
M18	0.6595682026933507
M208	0.9486676529565617
M21	0.961465055349917
M222	0.865453235888749
M223	0.8383678717460464
M232	0.9731130767164503
M237	0.3933446709469839
M24	0.6914846661032412
M29	0.935794940757935
M303	0.8906289788815703
M319	0.8089466994148871
M31	0.8625847476509864
M32	0.7962017350301867
M334	0.5354120600169299
M358	0.9371242875439579
M359	0.8924232061488718
M367	0.953776924953196
M36	0.8382217534750811
M372	0.09912795856410206
M374	0.9676313866901971
M375	0.9035604302941652
M376	0.9568539214375118
M377	0.8371436152196792
M384	0.9165168058975967
M386	0.0016672949618827815
M390	0.03379625297530142
M39	0.9628017908806265
M40	0.9714977111041091
M42	0.9429716079090695
M47	0.9747506851146094
M54	0.9234880940845511
M55	0.9629407899003375
M56	0.9655709022161895
M57	0.0055294998729035205
M58	0.0059646127531025606
M62	0.9641066239960527
M65	0.026492745063722678
M67	0.9796575838882804
M72	0.9566768907530288
M90	0.21853634838392877
